"Action","Actie"
"Add Sitemap","Sitemap toevoegen"
"Always","Altijd"
"CMS Pages Options","Opties CMS-pagina’s"
"Categories Options","Opties categorie&euml;n"
"Daily","Dagelijks"
"Edit Sitemap","Sitemap bewerken"
"Enabled","Ingeschakeld"
"Error Email Recipient","E-mailadres ontvanger van foutmelding"
"Error Email Sender","Afzender Foutmelding Email"
"Error Email Template","Foutmelding Email Template"
"Filename","Bestandsnaam"
"Frequency","Frequentie"
"Generate","Genereren"
"Generation Settings","Instellingen voor genereren"
"Hourly","Elk uur"
"Link for Google","Link voor Google"
"Monthly","Maandelijks"
"Never","Nooit"
"New Sitemap","Nieuwe sitemap"
"Path","Pad:"
"Priority","Prioriteit"
"Products Options","Opties producten"
"Sitemap generate Warnings","Waarschuwingen van de sitemap generatie"
"Start Time","Begin Tijd"
"Store View","Winkelaanzicht"
"The priority must be between 0 and 1.","De prioriteit moet tussen de 0 en 1 zijn."
"This sitemap no longer exists.","De Sitemap bestaat niet langer."
"Weekly","Wekelijks"
"Yearly","Jaarlijks"
