"* Required Fields","* Verplichte velden"
"Admin","Beheerder"
"Authorize","Autoriseer"
"Callback URL","Callback-URL"
"Cleanup Probability","Opruim-waarschijlijkheid"
"Cleanup Settings","Opruim-instellingen"
"Close","Sluiten"
"Created At","Aangemaakt Op"
"Customer","Klant"
"Delete","Verwijder"
"Disable","Deactiveer"
"Disabled","Uitgeschakeld"
"Edit","Bewerken"
"Email","E-mail"
"Email Address","E-mail adres"
"Enable","Activeer"
"Enabled","Ingeschakeld"
"Expiration Period","Verloop-periode"
"Invalid Callback URL","Ongeldige Callback-URL"
"Invalid Rejected Callback URL","Ongeldige afgewezen-Callback-URL"
"Key","Sleutel"
"Login","Log in"
"Name","Naam"
"Password","Wachtwoord"
"Permissions","Bevoegdheden"
"Role Name","Rolnaam"
"Save","Opslaan"
"Save and Continue Edit","Toepassen"
"Status","status"
"System","Systeem"
"User ID","Gebruiker-ID"
"User Name","Gebruikersnaam"
"deleted","verwijderd"
