"2nd Day Air","24 uurs zending (lucht)"
"2nd Day Air AM","48 uurs zending (lucht)"
"3 Day Select","72 uur (select)"
"Allowed Methods","Toegestane methodes"
"Commercial","Commercieel"
"Debug","Fouten opsporen"
"Enable","Activeer"
"Express Saver","Express voordeeltarief"
"First Overnight","Deze nacht"
"Free Shipping","Gratis verzending"
"Ground","Grond vervoer"
"Home Delivery","Huis aflevering"
"Location","Plaats"
"Media Mail","Mediapost"
"Merchant ID","Merchant-ID"
"Method","Methode"
"New Order Status","Nieuwe orderstatus"
"Next Day Air","Morgen per luchtpost"
"Next Day Air Early AM","Morgenvroeg per luchtvracht"
"Next Day Air Saver","Volgende dag met besparing"
"No","Nee"
"Priority Mail","Priority Post"
"Residential","Particulier"
"Standard Overnight","Standaard vannacht"
"Title","Titel"
"Yes","Ja"
