"-- Please Select --","-- Selecteer --"
"Attribute Code","Attribuutcode"
"Attribute Label","Attribuutlabel"
"Begin data validation","Start data validate"
"Cannot get autoincrement value","Kan geen autoincrement waarde ophalen"
"Check Data","Controleer data"
"Customers","Klanten"
"Delete Entities","Verwijder entiteiten"
"Destination file is not writable","Doelbestand is niet schrijfbaar"
"Entity Type","Eenheid Type"
"Entity is unknown","Entity is niet bekend"
"Export File Format","Export bestandsformaat"
"Export Settings","Export Instellingen"
"File is valid! To start import process press ""Import"" button","Bestand is geldig! Om het importproces te starten druk op de ""Importeren"" knop"
"Filter","Filteren"
"From","Van"
"Import Behavior","Import Gedrag"
"Import Settings","Import Instellingen"
"Import/Export","Importeren/Exporteren"
"No valid data sent","Geen geldige gegevens verzonden"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Repareer fouten en her-upload bestanden of druk op ""Importeren"" om de rijen met fouten over te slaan"
"Products","Producten"
"Select File to Import","Selecteer bestanden om te importeren"
"Status","status"
"There are no product types available for export","Er zijn geen producttypes beschikbaar om te exporteren"
"To","Aan"
"Unknown attribute filter type","Onbekend attribuut filter-type"
