"-- Please select --","-- Votre choix --"
"API Key","Clé API"
"Allowed Currencies","Devises autorisées"
"An invalid base currency has been entered.","Une monnaie de base invalide a été entrée."
"Base Currency","Devise de base"
"Connection Timeout in Seconds","Timeout de connexion"
"Continue &raquo;","Continuer &raquo;"
"Country","Pays"
"Country and Format Type combination should be unique","La combinaison Pays et Type de format doit être unique"
"Currency","Monnaie"
"Currency Options","Options de devise"
"Currency Setup","Paramétrage des devises"
"Currency Update Warnings","Alertes de mise à jour des devises"
"Currency rates can't be retrieved.","Les taux de monnaies ne peuvent être récupérés."
"Default Display Currency","Devise à afficher par défaut"
"Directory","Répertoire"
"Enabled","Activé"
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Expéditeur du mail d'erreur"
"Error Email Template","Gabarit du mail d'erreur"
"FATAL ERROR:","ERREUR FATALE :"
"Frequency","Fréquence"
"Installed Currencies","Devises installées"
"Invalid country code: %s","Code de pays non valide : %s"
"Invalid rates received","Taux reçus non valides"
"List of countries","Liste des pays"
"List of regions in specified country","Liste des régions dans le pays spécifié"
"No API Key was specified or an invalid API Key was specified.","Pas de clé API a été spécifiée ou une clé API non valide a été spécifiée."
"Region","Région"
"Scheduled Import Settings","Paramètres d'import programmé"
"Select Your Currency","Votre devise"
"Start Time","Heure de début"
"State/Province","État/Région"
"Strikeiron Email Update Warnings","Alertes de mise à jour de l'email Strikeiron"
"The account this API request is coming from is inactive.","Le compte dont provient cette demande d’API est inactif."
"WARNING:","ATTENTION :"
"Your current currency is: %s","Votre devise actuelle est : %s"
