"-- Please Select --","-- Faites un choix --"
"Attribute Code","Code d'attribut"
"Attribute Label","Libelle d'attribut"
"Begin data validation","Lancer la validation des données"
"Cannot get autoincrement value","Impossible de récupérer la valeur d'auto incrément"
"Check Data","Vérifier les données"
"Customers","Clients"
"Delete Entities","Effacer les entités"
"Destination file is not writable","Le fichier de destination n'a pas les droits en écriture"
"Entity Type","Type d'entité"
"Entity is unknown","L'entité est inconnue"
"Export","Exporter"
"Export File Format","Format du fichier d'export"
"Export Settings","Paramètres d'export"
"File is valid! To start import process press ""Import"" button","Le fichier est valide. Cliquez sur le bouton ""Importer"" pour démarrer le processus d'import."
"Filter","Filtre"
"From","Depuis"
"Import","Importer"
"Import Behavior","Comportement d'import"
"Import Settings","Paramètres d'import"
"Import/Export","Importer/Exporter"
"No valid data sent","Aucune donnée valide envoyée"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Corrigez les erreurs et re-télécharger le fichier ou appuyez simplement sur le bouton « Importer » pour sauter des lignes contenant des erreurs"
"Products","Produits"
"Select File to Import","Sélectionner le fichier à importer"
"Status","Statut"
"There are no product types available for export","Il n'y a pas de type de produit disponible pour l'export"
"To","À"
"Unknown attribute filter type","Type de filtre d'attribut inconnu"
