"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Lien</a>"
"Done","Fait"
"ETA: %s","Durée estimée : %s"
"Less than a minute","Moins d'une minute"
"Memory Used: %s","Mémoire utilisée : %s"
"Processed records: %s","Enregistrements traités : %s"
"Sheet 1","Feuille 1"
"Starting %s :: %s","Début %s : : %s"
"Total records: %s","Total d'enregistrements : %s"
"hour","heure"
"hours","heures"
