"# of Uses","Nombre d'utilisations"
"Add","Ajouter"
"Add New Tag","Ajouter un mot clé"
"Add Tags","Ajouter des mots clés"
"Add Your Tags:","Ajouter vos mots clés:"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste d'achats"
"All Tags","Tous les tags"
"Approved","Approuvé"
"Are you sure you want to delete this tag?","Êtes-vous sûr(e) de vouloir supprimer ce mot clé ?"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Are you sure?","Êtes-vous sûr(e) ?"
"Back","Retour"
"Back to Tags List","Retour à la liste de mots clés"
"Block Information","Information"
"Change status","Changer un statut"
"Click on a tag to view your corresponding products.","Cliquez sur le mot clé pour voir les produits correspondants."
"Country","Pays"
"Customer Since","Client depuis"
"Customers","Clients"
"Customers Tagged '%s'","Mots clés clients '%s'"
"Delete","Supprimer"
"Delete Tag","Supprimer mot clé"
"Disabled","Désactivé"
"Edit Tag '%s'","Éditer mot clé '%s'"
"First Name","Prénom"
"General Information","Informations générales"
"Grid","Grille"
"ID","Identifiant"
"Last Name","Nom"
"List","Liste"
"My Recent Tags","Mes mots clés récents"
"My Tags","Mes tags"
"Name","Nom"
"New Tag","Nouveau tag"
"No matches found.","Aucune correspondance trouvée."
"Other people marked this product with these tags:","Les mots-clés suivants ont été proposés pour ce produit :"
"Pending","En attente"
"Pending Tags","Tags en attente"
"Popular","Populaire"
"Popular Tags","Tags populaires"
"Price","Prix"
"Product Name","Nom du produit"
"Product SKU","SKU produit"
"Product Tags","Tags du produit"
"Products","Produits"
"Products Tagged with '%s'","Produits taggés avec '%s'"
"Products tagged with '%s'","Produits taggés avec '%s'"
"Remove","Supprimer"
"SKU","REF"
"Save Tag","Enregistrer mot clé"
"Save and Continue Edit","Sauvegarder et continuer d'éditer"
"Status","Statut"
"Store View","Vue magasin"
"Tag Name","Nom du tag"
"Tags","Mots clés"
"Tags:","Mots clés:"
"Telephone","Téléphone"
"Unable to find any products tagged with '%s' in the current store","Aucune correspondance d'article pour le mot clé : '%s'"
"Unable to remove tag. Please, try again later.","Impossible de supprimer le mot clé. Veuillez recommencer ultérieurement"
"Update","Mettre à jour"
"Use spaces to separate tags. Use single quotes (') for phrases.","Utilisez un espace pour séparer les mots clés. Utilisez l'apostrophe (') pour rédiger une phrase."
"View All Tags","Voir tous les mots clés"
"View Customers","Voir les clients"
"View Products","Voir les produits"
"You have not tagged any products yet.","Vous n'avez taggé aucun produit pour le moment."
"ZIP/Post Code","Code postal"
"[STORE VIEW]","[VUE MAGASIN]"
