"%1$s incl tax.","%1$s TTC"
"* Required Fields","* Champs obligatoires"
"-- Select --","-- Sélectionnez --"
"Add New Option","Ajouter une option"
"Add Selection","Ajouter une sélection"
"As Low as","À partir de"
"As low as","Prix à partir de"
"Bundle Items","Kit d'articles"
"Bundle Product","Produit packagé"
"Buy %1$s for %2$s","Achetez-en %1$s pour %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Achetez-en %1$s à %2$s (%3$s TTC) pièce"
"Buy %1$s for %2$s each","Achetez-en %1$s à %2$s pièce"
"Buy %1$s with %2$s discount each","Achetez-en %1$s et profitez d'une remise de %2$s par produit"
"Checkbox","Case à cocher"
"Choose a selection...","Choisissez une sélection..."
"Click for price","Cliquez pour afficher le prix"
"Close","Fermer"
"Default","Par défaut"
"Default Qty","Qté par défaut"
"Default Title","Titre par défaut"
"Drop-down","Liste déroulante"
"Dynamic","Dynamique"
"Excl. Tax","HT"
"Excl. Tax:","HT :"
"Fixed","Fixe"
"From","Depuis"
"From:","De :"
"Gift Message","Message cadeau"
"Incl. Tax","TTC"
"Incl. Tax:","TTC:"
"Input Type","Type de saisie"
"Is Required","Obligatoire"
"Message:","Message :"
"Multiple Select","Sélection multiple"
"N/A","N/D"
"No options of this product are available.","Il n'y a pas d'options disponible pour ce produit."
"None","Aucun"
"Percent","Pourcent"
"Percent Discount","Remise en pourcentage"
"Please Select Products to Add","Sélectionnez les produits à ajouter"
"Please enter a number greater 0 in this field.","Veuillez saisir un nombre supérieur à 0 dans ce champ."
"Please enter search conditions to view products.","Veuillez entrer des conditions de recherche pour voir des produits."
"Please select options for product.","Veuillez choisir les options pour le produit."
"Please specify product option(s).","Veuillez préciser la ou les options de produits."
"Price Range","Tranche de prix"
"Price Type","Type de prix"
"Price as configured","Prix de cette configuration"
"Qty:","Qté :"
"Radio Buttons","Boutons radio"
"SKU","REF"
"Separately","Séparément"
"Ship Bundle Items","Livrer les articles packagés"
"Shipment","Expédition"
"Store View Title","Titre de la vue magasin"
"This product is also part of bundle(s)","Ce produit fait aussi partie des packages"
"To","À"
"To:","À :"
"Together","Ensemble"
"Total incl. Tax: %1$s","Total TTC : %1$s"
"Use Default Value","Utiliser la valeur par défaut"
"User Defined Qty","Quantité définie par l'utilisateur"
"and","et"
"each","pièce"
"save","économisez"
