"Delete","Supprimer"
"Disable","Désactiver"
"Enable","Activer"
"General","Général"
"Index Management","Gestion des indexes"
"Never","Jamais"
"No","Non"
"Processing","En cours de traitement"
"Ready","Prêt"
"Refresh","Rafraîchir"
"Status","Statut"
"System","Système"
"Update on Save","Mise à jour à la sauvegarde"
"Updated At","Mise à jour à"
"Yes","Oui"
