"Currency","Devise"
"Custom currency symbols were applied successfully.","Les symboles de devise personnalisés ont bien été appliqués."
"Manage Currency Rates","Gestion des taux des devises"
"Rates","Taux"
"Save Currency Symbols","Enregistrer les symboles de devise"
"Symbol","Symbole"
"Symbols","Symboles"
"System","Système"
"Use Standard","Utiliser le standard"
