"Actions","Acciones"
"Are you sure?","¿Seguro que quiere continuar?"
"Date Added","Fecha de Creación"
"Last Update","Última Actualización"
"Mark as Read","Marcar como leído"
"Message","Mensaje"
"Messages Inbox","Bandeja de entrada"
"Notifications","Notificaciones"
"Please select messages.","Seleccione mensajes."
"Read Details","Leer detalles"
"Remove","Eliminar"
"Severity","Importancia"
"Show List","Mostrar la Lista"
"Show Toolbar","Mostrar Barra de Herramientas"
"The message has been removed.","El mensaje ha sido eliminado."
"Update Frequency","Frecuencia de Actualización"
"Use HTTPS to Get Feed","Utilizar HTTPS para obtener el feed"
"Wrong message type","Tipo de mensaje incorrecto"
"critical","crítico"
"major","principal"
"minor","menor"
"notice","aviso"
