"Action","Acción"
"Are you sure you want to delete the selected backup(s)?","¿Está seguro de que quiere eliminar la(s) copia(s) de seguridad seleccionada(s)?"
"Backups","Copias de seguridad"
"Create Backup","Crear copia de seguridad"
"Database","Base de datos"
"Database Backup","Copia de seguridad de la base de datos"
"Database and Media","Base de datos y archivos multimedia"
"Database and Media Backup","Copia de seguridad de la base de datos y de los archivos multimedia"
"Download","Descarga"
"Enable Scheduled Backup","Activar copia de seguridad programada"
"Frequency","Frecuencia"
"Maintenance Mode","Modo de mantenimiento"
"Name","Nombre"
"Rollback","Wiederherstellung"
"Start Time","Hora de inicio"
"System","Sistema"
"System (excluding Media)","Sistema (excluyendo los archivos multimedia)"
"System Backup","Copia de seguridad del sistema"
"Time","Zeit"
"Type","Tipo"
