"2nd Day Air","2º día en avión"
"2nd Day Air AM","2º día en avión por la mañana"
"3 Day Select","Seleccione 3 días"
"Allowed Methods","Métodos permitidos"
"Commercial","Comercial"
"Debug","Depurar"
"Enable","Activado"
"Express Saver","Envío urgente garantizada"
"First Overnight","Primera clase nocturno"
"Free Shipping","Transporte gratuito"
"Ground","Vía terrestre"
"Home Delivery","Entrega a domicilio"
"Inches","Centímetros"
"Location","Ubicación"
"Media Mail","Correo Media"
"Merchant ID","Identificación del comerciante"
"Method","Método"
"New Order Status","Nuevo estado del pedido"
"Next Day Air","Transporte aéreo al día siguiente"
"Next Day Air Early AM","Transporte aéreo al día siguiente a primera hora de la mañana"
"Next Day Air Saver","Transporte aéreo al día siguiente garantizada"
"No","No 	"
"Priority Mail","Correo urgente"
"Priority Overnight","Prioridad durante la noche"
"Residential","Residencial"
"Standard Overnight","Estándar de un día para otro"
"Title","Título"
"Yes","Sí"
