"Catalog","Catálogo"
"Click for price","Haga click para ver precio"
"Coupons/Discounts","Cupones/descuentos"
"Customer Order Status Notification","Notificación de estado de pedido del cliente"
"Discount","Descuento"
"Enable RSS","Activar RSS"
"From:","Desde:"
"Get Feed","Obtener fuente"
"Gift Message","Mensaje regalo"
"Grand Total","Total general"
"Low Stock Products","Artículos con baja cantidad en inventario"
"Message:","Mensaje:"
"Miscellaneous Feeds","Fuentes varias"
"New Orders","Nuevos pedidos"
"New Products","Nuevos artículos"
"Order","Encargar"
"Pending product review(s)","Reseñas pendientes para el artículo"
"RSS Feeds","Fuentes RSS"
"Rss Config","Configuración de RSS"
"Shipping &amp; Handling","Gastos de envío"
"Special Products","Artículos especiales"
"Tax","Impuestos"
"To:","A:"
"Top Level Category","Categoría de nivel superior"
"Wishlist","Lista de deseos"
