"--Please Select--","--Por favor seleccione--"
"API Login ID","ID de acceso de la API"
"Accepted Currency","Moneda Aceptada"
"Authorize.net Direct Post","Post directo de Authorize.net"
"Card Verification Number","Número de verificación de tarjeta"
"Card Verification Number Visual Reference","Referencia visual de número de verificación de tarjeta"
"Close","Cerrar"
"Credit Card Information","Información de tarjeta de crédito"
"Credit Card Number","Número de tarjeta de crédito"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Types","Tipos de tarjeta de crédito"
"Credit Card Verification","Verificación de la tarjeta de crédito"
"Debug","Depurar"
"Email Customer","Correo electrónico del Cliente"
"Enabled","Habilitado"
"Expiration Date","Fecha de vencimiento"
"Gateway URL","URL de la pasarela"
"Maximum Order Total","Total máximo del pedido"
"Merchant MD5","MD5 del Vendedor"
"Merchant's Email","Correo electrónico del vendedor"
"Minimum Order Total","Total mínimo del pedido"
"New Order Status","Nuevo estado del pedido"
"Payment Action","Acción de pago"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Sort Order","Orden de aparición"
"Test Mode","Modo de prueba"
"Title","Título"
"Transaction Key","Clave de transacción"
"What is this?","¿Qué es esto?"
