"Add","Agregar"
"Add New Role","Añadir Nuevo Cargo"
"Address Type","Adressentyp"
"Admin","Administrar"
"Allow","Permitir"
"Assigned","Asignado"
"Attribute Set","Conjunto de atributos"
"Attributes","Atributos"
"Automatically Return Credit Memo Item to Stock","Devolver automáticamente artículo de factura de abono a existencias"
"Back","Volver"
"Backorders","Pedidos pendientes"
"Base Currency","Moneda base"
"Catalog","Catálogo"
"Category ID","ID de categoría"
"City","Ciudad"
"Company","Empresa"
"Country","País"
"Coupon Code","Código de cupón"
"Create","Crear"
"Create Permanent Redirect for old URL","Crear redirección permanente para URL antigua"
"Customer","Cliente"
"Customer Address","Dirección del Cliente"
"Customer First Name","Nombre del cliente"
"Customer ID","Kundenidentifikationsbezeichnung"
"Customer Last Name","Apellido del cliente"
"Delete","Borrar"
"Deny","Verweigern"
"Discount","Descuento"
"Discount Amount","Monto de descuento"
"Edit","Editar"
"Edit Role","Editar Rol"
"Email","Correo electrónico"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"Exclude","Excluir"
"File Name","Nombre de archivo"
"First Name","Nombre"
"Gift Message","Mensaje regalo"
"Grand Total","Total general"
"Grand Total to Be Charged","Importe total a cobrar"
"Group","Grupo"
"Guest","Visitante"
"ID","Número de Identificación (ID)"
"Label","Etiqueta"
"Last Logged In","Última conexión"
"Last Name","Apellido"
"Manage Stock","Gestionar existencias"
"Maximum Qty Allowed in Shopping Cart","Cantidad Máxima Permitida en la Cesta del Carrito"
"Minimum Qty Allowed in Shopping Cart","Cantidad Mínima Permitida en la Cesta de Compra"
"New Role","Nueva función"
"Notify for Quantity Below","Notificar cuando la cantidad sea inferior a"
"Order","Encargar"
"Order Comments","Comentarios del pedido"
"Order Date","Fecha del pedido"
"Order ID","Pedido ID"
"Order Status","Estado de pedido"
"Orders","Pedidos"
"Original Price","Precio original"
"Payment Method","Método de pago"
"Phone Number","Número de teléfono"
"Placed from IP","Realizado desde IP"
"Position","Posición"
"Price","Precio"
"Product","Producto"
"Product ID","ID de artículo"
"Qty","Cantidad"
"Qty Increments","Incrementos de cantidad"
"Qty Uses Decimals","La Cantidad Usa Decimales"
"Role Info","Información de la función"
"Role Information","Información del rol"
"Role Name","Nombre del puesto"
"Role Users","Funciones del usuario"
"Roles","Funciones"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Sales","Ventas"
"Save","Guardar"
"Shipping Amount","Importe del envío"
"Shipping Method","Método de envío"
"State","Comunidad Autónoma"
"Stock Availability","Disponibilidad de inventario"
"Stock Status","Estado de existencias"
"Store Name","Nombre de la tienda"
"System","Sistema"
"Tax Amount","Importe de impuestos"
"Tax Percent","Porcentaje de impuestos"
"Tax Rate","Tarifa de impuestos"
"Total Due","Total debido"
"Total Paid","Total pagado"
"Total Refunded","Total reembolsado"
"Type","Tipo"
"Update","Actualizar"
"ZIP/Postal Code","Código postal"
