"Base URL","URL base"
"Configuration","Configuración"
"Confirm Password","Confirmar contraseña"
"Continue","Continuar"
"Database","Base de datos"
"Download","Descarga"
"Email","Correo electrónico"
"Email Address","Dirección de email"
"Enable Charts","Habilitar Gráficas"
"Encryption Key","Clave de cifrado"
"File System","Sistema de archivos"
"First Name","Nombre"
"Host","Servidor"
"Last Name","Apellido"
"Locale","Configuración regional"
"Password","Contraseña"
"Password Confirmation","Confirmación de la contraseña"
"Personal Information","Información Personal"
"Report All Bugs","Informar de todos los errores"
"Required Fields","Campos obligatorios"
"Secure Base URL","URL Base segura"
"User Name","Nombre de usuario"
"User Password","Contraseña de usuario"
"Username","Nombre de Usuario"
