"Add","Agregar"
"Add gift options","Añadir opciones de regalo"
"Add gift options for Individual Items","Añadir opciones de regalo para artículos individuales"
"Allow Gift Messages for Order Items","Permitir mensajes de regalo en artículos pedidos"
"Allow Gift Messages on Order Level","Permitir mensajes de regalo en nivel de pedido"
"Are you sure?","¿Seguro que quiere continuar?"
"Cancel","Cancelar"
"Do you have any gift items in your order?","¿Tiene artículos de regalo en su pedido?"
"Edit","Editar"
"From","Desde"
"Gift Message","Mensaje regalo"
"Gift Options","Opciones de regalo"
"Gift Options for Individual Items","Opciones de regalo para artículos individuales."
"Message","Mensaje"
"No","No 	"
"OK","Aceptar"
"Save Gift Message","Guardar mensaje de regalo"
"To","Hasta"
"Unknown entity type","Tipo de entidad desconocido"
"Use config","Usar config"
"Yes","Sí"
