"Advanced Search","Búsqueda avanzada"
"All","Todos"
"Catalog Advanced Search","Búsqueda avanzada de catálogo"
"Catalog Search","Catálogo de búsquedas"
"Don't see what you're looking for?","¿No encuentras lo que buscas?"
"Go to Home Page","Ir a la página de inicio"
"Grid","Parrilla"
"Home","Inicio"
"List","Lista"
"Maximum Query Length","Longitud máxima de consulta"
"Minimal Query Length","Longitud mínima de búsqueda"
"Modify your search","Modificar la búsqueda"
"No","No 	"
"Please specify at least one search term.","Por favor, especifica al menos un término de búsqueda."
"Popular Search Terms","Términos de búsqueda populares"
"Rebuild Catalog product fulltext search index","Reconstruir catálogo Artículo todo el texto búsqueda índice"
"Relevance","Relevancia"
"Results","Resultados"
"Search","Buscar"
"Search Settings","Ajustes de búsqueda"
"Search Terms","Términos de búsqueda"
"Search entire store here...","Buscar en toda la tienda..."
"There are no search terms available.","No hay términos de búsqueda disponibles."
"Yes","Sí"
