"Allow for Guests","Permitir visitantes"
"Back","Volver"
"Email Address","Dirección de email"
"Email Address:","Correo electrónico:"
"Email Templates","Plantillas de correo electrónico"
"Email to a Friend","Escribir correo electrónico a un amigo"
"Email:","Correo electrónico:"
"Enabled","Habilitado"
"Invalid Sender Information","Información del remitente inválida"
"Limit Sending By","Límite de envío por"
"Max Products Sent in 1 Hour","Máximos artículos enviados en 1 hora"
"Max Recipients","Máximos destinatarios."
"Message:","Mensaje:"
"Name","Nombre"
"Select Email Template","Elegir plantilla de correo electrónico"
"Send Email","Envíar correo electrónico"
"Some emails were not sent.","No se enviaron algunos mensajes de correo electrónico."
"The link to a friend was sent.","El enlace fue envíado a un amigo."
