"Action","Acción"
"Add","Agregar"
"Add to Cart","Añadir al carrito"
"Add to Wishlist","Añadir a la lista de deseos"
"Approved","Aprobado"
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Are you sure?","¿Seguro que quiere continuar?"
"Back","Volver"
"Block Information","Bloque información"
"Change status","Cambiar estado"
"Country","País"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Delete","Borrar"
"Disabled","Deshabilitada"
"Email","Correo electrónico"
"First Name","Nombre"
"General Information","Información general"
"Grid","Parrilla"
"ID","Número de Identificación (ID)"
"Last Name","Apellido"
"List","Lista"
"Name","Nombre"
"Pending","Pendiente"
"Price","Precio"
"Product Name","Nombre del producto"
"Products","Productos"
"Remove","Eliminar"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Save and Continue Edit","Guardar y continuar editando"
"Status","Estatus"
"Store View","Vista de la tienda"
"Tags","Etiquetas"
"Update","Actualizar"
"ZIP/Post Code","Código postal"
"[STORE VIEW]","[VISTA DE TIENDA]"
