"-- Please select --","-- Por favor, seleccione --"
"API Key","Clave API"
"Allowed Currencies","Divisas permitidas"
"An invalid base currency has been entered.","Se ha introducido una moneda base no válida."
"Base Currency","Moneda base"
"Connection Timeout in Seconds","Plazo de expiración de la conexión en segundos"
"Country","País"
"Country and Format Type combination should be unique","La combinación de tipo de formato y país debe ser única"
"Currency","Moneda"
"Currency Options","Opciones de monedas"
"Currency Setup","Configuración de moneda"
"Currency Update Warnings","Avisos de actualización de moneda"
"Currency rates can't be retrieved.","Las tasas de cambio no se pueden recuperar."
"Default Display Currency","Divisa mostrada (preseleccionada)"
"Enabled","Habilitado"
"Error Email Recipient","Error en el destinatario del mensaje"
"Error Email Sender","Error en el remitente del mensaje"
"Error Email Template","Error en la plantilla del mensaje"
"FATAL ERROR:","ERROR FATAL:"
"Frequency","Frecuencia"
"Installed Currencies","Divisas instaladas"
"No API Key was specified or an invalid API Key was specified.","No se especificó una clave de API o se especificó una clave de API no válida."
"Scheduled Import Settings","Configuración de la importación programada"
"Service","Servicio"
"Start Time","Hora de inicio"
"State/Province","Estado/provincia"
"The account this API request is coming from is inactive.","La cuenta de la que proviene esta solicitud de API está inactiva."
"WARNING:","ADVERTENCIA:"
