"Add to Cart","Add to Bag"
"Back","Geri"
"Clear Shopping Cart","Clear Shopping Bag"
"Display number of items in cart","Display number of items in bag"
"Estimate Shipping and Tax","Estimate Shipping and GST"
"Excl. Tax","incl. GST"
"Incl. Tax","incl. GST"
"My Cart","My Bag"
"Shopping Cart","Shopping Bag"
"Update Cart","Update Bag"
"Update Shopping Cart","Update Shopping Bag"
"View Shopping Cart","View Shopping Bag"
"You have no items in your shopping cart.","You have no items in your shopping bag."
