"Add to Cart","Add to Bag"
"Back","Geri"
"Check items to add to the cart or","Check items to add to the bag or"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Bag"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Bag"
