"Action","Tindakan"
"Are you sure you want to delete the selected backup(s)?","Yakin ingin menghapus, cadangan yang dipilih?"
"Backups","Cadangan"
"Create Backup","Membuat backup"
"Database Backup","Backup Database"
"Database and Media","Database dan Media"
"Database and Media Backup","Backup Database dan Media"
"Enable Scheduled Backup","Aktifkan Backup Terjadwa"
"Frequency","Frekuensi"
"Maintenance Mode","Mode Pemeliharaan"
"Name","Nama"
"Start Time","Waktu mulai"
"System","Sistem"
"System (excluding Media)","Sistem (tidak termasuk Media)"
"System Backup","System Cadangan"
"Time","Waktu"
"Type","Jenis"
