"Active","Aktif"
"Add New Attribute","Tambahkan Atribut Baru"
"Are you sure?","Apakah kamu yakin?"
"Attribute","Atribut"
"Attribute Set","Set Atribut"
"Attributes","Atribut"
"Catalog","Katalog"
"Confirm","Konfirmasi"
"Delete","Hapus"
"Expires","Kadaluarsa"
"Items","Item"
"Manage Items","Kelola item"
"No","Tidak"
"Product Name","Nama Produk"
"Remove","Hapus"
"Synchronize","Sinkronisasi"
"Yes","Ya"
