"Add Minimum Qty","Tambah Minimum Qty"
"Allow Qty Below 0","Izinkan Qty Dibawah 0"
"Allow Qty Below 0 and Notify Customer","Izinkan Qty dibawah 0 dan Beritahu Pelanggan"
"Automatically Return Credit Memo Item to Stock","Kembalikan Pilihan Memo Kredit secara otomatis ke Persediaan"
"Backorders","Inden"
"By Fixed value","Dari nilai tetap"
"By Percentage","Dari persen"
"Decrease Stock When Order is Placed","Turunkan Stok Saat Pesanan Ditempatkan"
"Display Out of Stock Products","Tampilkan Produk yang Habis Terjual"
"Enable Qty Increments","Aktifkan penambahan Qty"
"In Stock","Tersedia"
"Inventory","Persediaan"
"Manage Stock","Kelola persedian"
"Maximum Qty Allowed in Shopping Cart","Maksimum Qty Diizinkan di Keranjang Belanja"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Diizinkan di Keranjang Belanja"
"No Backorders","Tidak ada inden"
"Notify for Quantity Below","Beritahu Kuantitas di bawah ini"
"Only X left Threshold","Hanya X yang meninggalkan ambang batas"
"Out of Stock","Habis Terjual"
"Product Name","Nama Produk"
"Product Stock Options","Opsi Stok Produk"
"Products will still be shown by direct product URLs.","Produk akan tetap ditampilkan oleh direct product URLs."
"Qty","Jml"
"Qty Increments","Kenaikan Qty"
"Rule price","Aturan Harga"
"Set Items' Status to be In Stock When Order is Cancelled","Tetapkan Status Item menjadi Tersedia Saat Pesanan Dibatalkan"
"Stock Options","Stok pilihan"
"Stock Status","Status Stok"
"The stock item for Product in option is not valid.","Item stok untuk Produk di pilihan tidak sah."
"To Fixed Value","Untuk Nilai Tetap"
"To Percentage","Untuk Persen"
"Update","Memperbarui"
"Update the Product","Perbarui Produk"
