"Add","Menambahkan"
"Allow Gift Messages for Order Items","Izinkan Pesan Hadiah untuk Item Pemesanan"
"Allow Gift Messages on Order Level","Mengizinkan Pesan Hadiah pada Tingkat Pesanan"
"Are you sure?","Apakah kamu yakin?"
"Cancel","Batal"
"Do you have any gift items in your order?","Apakah Anda memiliki barang hadiah dalam pesanan Anda?"
"Edit","Ubah"
"From","Dari"
"Gift Message","Pesan hadiah"
"Gift Options","Pilihan hadiah"
"Gift Options for Individual Items","Pilihan Hadiah untuk setiap item"
"Message","Pesan"
"No","Tidak"
"OK","Baik"
"Save Gift Message","Simpan Hadiah Pesan"
"To","Ke"
"Unknown entity type","Tipe entitas tidak dikenal"
"Use config","Menggunakan konfigurasi"
"Yes","Ya"
