"-- Please Select --","-- Silahkan pilih --"
"Add New Class","Tambahkan Kelas baru"
"Add New Tax Rate","Tambahkan Rating Tingkatan Pajak Terbaru"
"Add New Tax Rule","Tambahkan Aturan Baru Pajak"
"After Discount","Setelah diskon"
"Apply Customer Tax","Menerapkan pajak pelanggan"
"Apply Discount On Prices","Menerapkan diskon pada harga"
"Apply Tax On","Menerapkan pajak pada"
"Are you sure you want to do this?","Apakah Anda yakin ingin melakukan ini?"
"Back","Kembali"
"Before Discount","Sebelum Diskon"
"CSV","Csv"
"Calculation Settings","Pengaturan kalkulasi"
"Catalog Prices","Katalog harga"
"Code","Kode"
"Country","Negara"
"Custom price if available","Custom harga jika tersedia"
"Customer Tax Class","Pelanggan Pajak Kelas"
"Customer Tax Classes","Kelas Pajak Pelanggan"
"Default Country","Negara Default"
"Default Post Code","Kode Pos Default"
"Default State","Bawaan Negara Bagian"
"Default Tax Destination Calculation","Tujuan Kalkulasi Standar pajak"
"Delete Rate","Hapus Tingkat"
"Delete Rule","Hapus Kaidah"
"Display Full Tax Summary","Menampilkan Ringkasan Pajak Penuh"
"Display Prices","Menampilkan Harga"
"Display Product Prices In Catalog","Menampilkan Harga Produk di Katalog"
"Display Shipping Amount","Menampilkan Harga Pengiriman"
"Display Shipping Prices","Menampilkan Harga Pengiriman"
"Display Subtotal","Menampilkan Subtotal"
"Display Zero Tax Subtotal","Menampilkan Subtotal Pajak Nol"
"Edit Rule","Perubahan aturan"
"Edit Tax Rate","Merubah tarif pajak"
"Enable Cross Border Trade","Aktifkan Perdagangan Lintas Batas"
"Excl. Tax","Belum termasuk pajak"
"Excluding Tax","Tidak termasuk pajak"
"Export Tax Rates","Tarif Pajak Ekspor"
"Grand Total (Excl. Tax)","Grand Total (diluar Pajak)"
"Grand Total (Excl.Tax)","Jumlah Total (Tidak Termasuk Pajak)"
"Grand Total (Incl. Tax)","Jumlah Total (Termasuk Pajak)"
"Grand Total (Incl.Tax)","Jumlah Total (Termasuk Pajak)"
"Grand Total Excl. Tax","Jumlah total belum termasuk pajak"
"Grand Total Incl. Tax","Jumlah total termasuk pajak"
"Import Tax Rates","Tarif Pajak Impor"
"Inc. Tax","Pajak Inc"
"Incl. Tax","Incl. Pajak"
"Including Tax","Termasuk pajak"
"Including and Excluding Tax","Termasuk dan tidak termasuk pajak"
"Invalid file upload attempt","Upaya upload unggahan tidak valid"
"Manage Tax Rates","Kelola Tarif Pajak"
"Manage Tax Rules","Mengelola aturan pajak"
"Name","Nama"
"New Rule","Aturan baru"
"New Tax Rate","Tarif Pajak Baru"
"No","Tidak"
"None","Tidak ada"
"Orders, Invoices, Credit Memos Display Settings","Pesanan, Faktur, Setelan Tampilan Memo Kredit"
"Original price only","Asli saja"
"Price Display Settings","Pengaturan Tampilan Harga"
"Priority","Prioritas"
"Product Tax Class","Pajak Produk Kelas"
"Range From","Berkisar dari"
"Range To","Rentang ke"
"Rate","Tarif"
"Rate Percent","Tingkat persentase"
"Reset","Set ulang"
"Row Total","Jumlah Total Baris"
"Sales","Penjualan"
"Save Rate","Simpan Tingkat"
"Save Rule","Simpan Aturan"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Shipping & Handling (Excl.Tax)","Penanganan & Pengiriman (Tidak Termasuk Pajak)"
"Shipping & Handling (Incl.Tax)","Penanganan & Pengiriman (Termasuk Pajak)"
"Shipping (Excl. Tax)","Pengiriman Tidak TermaPengiriman (diluar Pajak) suk Pajak)"
"Shipping (Incl. Tax)","Pengiriman (Termasuk Pajak)"
"Shipping Prices","Harga Pengiriman"
"Shopping Cart Display Settings","Pengaturan Tampilan Keranjang Belanja"
"Sort Order","Pengurutan"
"State","Negara Bagian"
"State/Region","Negara/Wilayah"
"Subtotal (Excl. Tax)","Subtotal (Tidak Termasuk Pajak)"
"Subtotal (Excl.Tax)","Subtotal (Tidak Termasuk Pajak)"
"Subtotal (Incl. Tax)","Subtotal (Termasuk Pajak)"
"Subtotal (Incl.Tax)","Subtotal (Termasuk Pajak)"
"Tax","Pajak"
"Tax Calculation Based On","Perhitungan Pajak Berdasarkan"
"Tax Calculation Method Based On","Metode kalkulasi pajak berdasarkan"
"Tax Class for Shipping","Kelas Pajak Untuk Pengiriman"
"Tax Classes","Kelas Pajak"
"Tax Identifier","Tanda Pengenal Pajak"
"Tax Rate","Rating Pajak"
"Tax Rate Information","Informasi Tarif Pajak"
"Tax Rule Information","Informasi Aturan Pajak"
"Tax Rules","Aturan Pajak"
"Tax Section","Bagian Pajak"
"Tax Titles","Jenis Pajak"
"Tax rates at the same priority are added, others are compounded.","Tarif pajak pada prioritas yang sama ditambahkan, yang lain menyusul kemudian."
"The tax rate has been imported.","Tarif pajak telah diimpor."
"The tax rule has been deleted.","Aturan pajak telah dihapus."
"This rule no longer exists.","Aturan ini sudah tidak ada lagi."
"Total","Jumlah"
"Unit Price","Patokan harga"
"Yes","Ya"
"Zip/Post Code","Kode Pos"
"Zip/Post is Range","Zip / Post adalah Range"
