"Advanced Search","Penelusuran Lanjutan"
"All","Semua"
"Catalog Advanced Search","Katalog Pencarian Lanjutan"
"Catalog Search","Pencarian Katalog"
"Don't see what you're looking for?","Tidak melihat apa yang Anda cari?"
"Go to Home Page","Buka Halaman Depan"
"Grid","Kisi"
"Home","Rumah"
"List","Daftar"
"Maximum Query Length","Panjang Permintaan Maksimum"
"Minimal Query Length","Panjang Permintaan Minimal"
"No","Tidak"
"Popular Search Terms","Istilah Pencarian Populer"
"Relevance","Relevansi"
"Results","Hasil"
"Search","Pencarian"
"Search Settings","Pengaturan pencarian"
"Search Terms","Istilah Pencarian"
"Search entire store here...","Cari seluruh toko di sini..."
"There are no search terms available.","Tidak ada istilah pencarian yang tersedia."
"Yes","Ya"
