"Actions","Tindakan"
"Active","Aktif"
"Add New Rule","Tambahkan Aturan Baru"
"Apply","Menerapkan"
"Apply Rules","Menerapkan peraturan"
"Attribute Set","Set Atribut"
"Catalog","Katalog"
"Catalog Price Rule","Aturan harga katalog"
"Catalog Price Rules","Aturan harga katalog"
"Category","Kategori"
"Conditions","Kondisi"
"Conditions Combination","Ketentuan Kombinasi"
"Customer Groups","Kelompok pelanggan"
"Date From","Tanggal dari"
"Date To","Tanggal ke"
"Description","Deskripsi"
"Discount Amount","Jumlah diskon"
"Edit Rule","Perubahan aturan"
"Expiration Date","Tanggal kadaluarsa"
"General Information","Informasi Umum"
"ID","Id"
"Inactive","Tidak aktif"
"New Rule","Aturan baru"
"No","Tidak"
"Options","Pilihan"
"Priority","Prioritas"
"Product Attribute","Atribut Produk"
"Promotions","Promosi"
"Rule Information","Informasi Peraturan"
"Rule Name","Nama aturan"
"Save and Apply","Simpan dan menerapkan"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Start Date","Tanggal Mulai"
"Status","Subjek"
"This rule no longer exists.","Aturan ini sudah tidak ada lagi."
"Type","Jenis"
"Website","Situs web"
"Websites","Situs web"
"Yes","Ya"
