"Base URL","URL dasar"
"Configuration","Konfigurasi"
"Confirm Password","Konfirmasi Sandi"
"Continue","Lanjut"
"Email","E-mail"
"Email Address","Alamat email"
"Enable Charts","Aktifkan Grafik"
"Encryption Key","Kunci enkripsi"
"File System","Berkas sistem"
"First Name","Nama depan"
"Last Name","Nama Belakang"
"Locale","Lokal"
"Password","Kata sandi"
"Password Confirmation","Konfirmasi kata kunci"
"Personal Information","Informasi pribadi"
"Report All Bugs","Laporkan Semua Bugs"
"Required Fields","Bidang yang Diperlukan"
"Secure Base URL","URL Base Aman"
"User Name","Nama Pengguna"
"User Password","Kata sandi pengguna"
"Username","Nama pengguna"
