"Allow for Guests","Izinkan untuk tamu"
"Back","Kembali"
"Email Address","Alamat email"
"Email Address:","Alamat Email:"
"Email Templates","Template Email"
"Email to a Friend","Email ke teman"
"Email:","E-mail:"
"Enabled","Diaktifkan"
"Invalid Sender Information","Informasi Pengirim Tidak Valid"
"Limit Sending By","Batas Pengiriman Dengan"
"Max Products Sent in 1 Hour","Produk Max Dikirim dalam 1 Jam"
"Max Recipients","Maksimum Penerima"
"Message:","Pesan:"
"Name","Nama"
"Select Email Template","Pilih Template Email"
"Send Email","Kirim Email"
"Some emails were not sent.","Beberapa email tidak terkirim."
"The link to a friend was sent.","Tautan ke teman dikirim."
