"API Login ID","ID входа API"
"Accepted Currency","Принимаемая валюта"
"Authorize Only","Авторизировать только"
"Authorize and Capture","Авторизировать и записать"
"Cancel","Отмена"
"Credit Card Types","Типы кредитных карт"
"Credit Card Verification","Верификация кредитной карты"
"Debug","Отладка"
"Email Customer","E-mail клиента"
"Enabled","Включено"
"Invalid amount for authorization.","Неверная сумма для авторизации."
"Invalid amount for capture.","Недопустимый размер записи."
"Invalid amount for refund.","Недопустимый размер для возврата."
"Maximum Order Total","Сумма максимального заказа"
"Merchant's Email","Email продавца"
"Minimum Order Total","Сумма минимального заказа"
"New Order Status","Статус нового заказа"
"Payment Action","Тип платежа"
"Payment authorization error.","Ошибка авторизации оплаты"
"Payment capturing error.","Ошибка записи оплаты."
"Payment from Applicable Countries","Оплата из допустимых стран"
"Payment from Specific Countries","Оплата из определенных стран"
"Payment refunding error.","Ошибка возврата оплаты."
"Payment voiding error.","Ошибка значения void оплаты."
"Sort Order","Порядок Сортировки"
"Test Mode","Тестовый режим"
"Title","Заголовок"
"Transaction Key","Ключ транзакции"
"authorize","Авторизация"
"authorize and capture","Авторизация и запись"
"capture","запись"
"failed","не удалось"
"refund","возврат"
"successful","успешно"
"void","значение void"
