"* Required Fields","* Обязательные поля"
"Admin","Администратор"
"Authorize","Авторизировать"
"Callback URL","URL обратного вызова"
"Cleanup Settings","Параметры очистки"
"Close","Закрыть"
"Created At","Создано в"
"Customer","Клиент"
"Delete","Удалить"
"Disable","Отключить"
"Disabled","Отключено"
"Edit","Редактировать"
"Email","Электронная почта"
"Email Address","Адрес электронной почты"
"Enable","Включить"
"Enabled","Включено"
"Expiration Period","Период действия"
"ID","Идентификатор"
"Key","Ключ"
"Log In","Войти"
"Login","Логин"
"Name","Название"
"Password","Пароль"
"Permissions","Права доступа"
"Role Name","Название роли"
"Save","Сохранить"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Status","Статус"
"System","Система"
"User ID","ИД пользователя"
"User Name","Имя пользователя"
