"ALL","ВСЕ"
"ANY","ЛЮБОЙ"
"Add","Добавить"
"Apply","Применить"
"Conditions Combination","Сочетание условий"
"FALSE","ЛОЖЬ"
"If %s of these conditions are %s:","Если %s из этих условий %s:"
"Invalid discount amount.","Неверная величина скидки."
"Open Chooser","Открыть окно выбора"
"Perform following actions","Выполнить следующие действия"
"Please choose a condition to add...","Пожалуйста, выберите условие для добавления..."
"Please choose an action to add...","Пожалуйста, выберите действие для добавления..."
"Remove","Удалить"
"TRUE","ПРАВДА"
"by","до"
"contains","содержит"
"does not contain","не содержит"
"does not contains","не содержит"
"equals or greater than","равно или больше чем"
"equals or less than","равно или меньше чем"
"found","найдено"
"from","от"
"greater than","больше чем"
"is","равно"
"is not","не равно"
"is not one of","не является одним из"
"is one of","является одним из"
"less than","меньше, чем"
"not found","не найден"
"to","до"
"was","было"
"was not","не было"
