"%1$s incl tax.","%1$s вкл. налог."
"* Required Fields","* Обязательные поля"
"-- Select --","-- Выберите --"
"Add New Option","Добавить новую опцию"
"Add Selection","Добавить набор"
"As Low as","Так же низко как"
"As low as","Так же низко как"
"Bundle Items","Элементы комплекта"
"Bundle Product","Добавить в пакет"
"Buy %1$s for %2$s","Купи %1$s шт. по %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Купи %1$s шт. по %2$s (%3$s вкл. налог) каждый"
"Buy %1$s for %2$s each","Купи %1$s шт. по %2$s каждый"
"Buy %1$s with %2$s discount each","Купить %1$s со %2$s скидкой каждый"
"Checkbox","Кнопка-флажок"
"Choose a selection...","Выберете выбранное"
"Click for price","Нажмите чтобы узнать цену"
"Close","Закрыть"
"Default","По умолчанию"
"Default Qty","Кол-во по умолчанию"
"Default Title","Заголовок по умолчанию"
"Drop-down","Раскрывающийся список"
"Dynamic","Динамический"
"Excl. Tax","Без налога"
"Excl. Tax:","Без налога:"
"Fixed","Исправлено"
"From","от"
"From:","От:"
"Gift Message","Подарочное сообщение"
"Incl. Tax","Включая налог"
"Incl. Tax:","Включая налог:"
"Input Type","Тип ввода"
"Is Required","Обязательный"
"Message:","Сообщение:"
"Multiple Select","Множественный выбор"
"N/A","Н/Д"
"No options of this product are available.","Нет доступных опций для этого продукта."
"None","Нет"
"Percent","Процент"
"Percent Discount","Процент скидки"
"Please enter a number greater 0 in this field.","Пожалуйста, введите число больше 0 в это поле."
"Please enter search conditions to view products.","Введите критерии поиска для товара."
"Please select options for product.","Выберите параметры для товара."
"Please specify product option(s).","Пожалуйста, укажите вариант(ы) товара."
"Position","Позиция"
"Price Range","Диапазон цен"
"Price Type","Тип цены"
"Price as configured","Назначенная цена"
"Qty:","Кол-во:"
"Radio Buttons","Радио-кнопки"
"SKU","Артикул"
"Separately","Отдельно"
"Ship Bundle Items","Вставить комплект товара"
"Shipment","Доставка"
"Store View Title","Название представления магазина "
"This product is also part of bundle(s)","Товар входит в набор(ы)"
"To","До"
"To:","Кому:"
"Together","Вместе"
"Total incl. Tax: %1$s","Итого вкл. налог: %1$s"
"Use Default Value","Использовать значение по умолчанию"
"User Defined Qty","Кол-во, определённое покупателем"
"and","и"
"each","каждый"
"save","сохранять"
