"--Please Select--","-- Выберите --"
"API Login ID","ID входа API"
"Accepted Currency","Принимаемая валюта"
"Authorize.net Direct Post","Прямое Сообщение Authorize.NET"
"Card Verification Number","Проверочный код карты"
"Card Verification Number Visual Reference","Визуальная ссылка на верификации номер карты"
"Close","Закрыть"
"Credit Card Information","Информация о кредитной карте"
"Credit Card Number","Номер кредитной карты"
"Credit Card Type","Тип кредитной карты"
"Credit Card Types","Типы кредитных карт"
"Credit Card Verification","Верификация кредитной карты"
"Debug","Отладка"
"Email Customer","E-mail клиента"
"Enabled","Включено"
"Expiration Date","Дата окончания срока действия"
"Gateway URL","шлюз URL"
"Maximum Order Total","Сумма максимального заказа"
"Merchant's Email","Email продавца"
"Minimum Order Total","Сумма минимального заказа"
"New Order Status","Статус нового заказа"
"Order saving error: %s","Ошибка сохранения заказа: %s"
"Payment Action","Тип платежа"
"Payment authorization error.","Ошибка авторизации оплаты"
"Payment from Applicable Countries","Оплата из допустимых стран"
"Payment from Specific Countries","Оплата из определенных стран"
"Sort Order","Порядок Сортировки"
"Test Mode","Тестовый режим"
"There was an error processing your order. Please contact us or try again later.","Во время обработки заказа произошла ошибка. Пожалуйста, попробуйте позже или свяжитесь с администрацией."
"Title","Заголовок"
"Transaction Key","Ключ транзакции"
"What is this?","Что это?"
