"-- Please Select --","-- Выберите --"
"Add New Class","Добавить новый класс"
"Add New Tax Rate","Добавить новую налоговую ставку"
"Add New Tax Rule","Добавить новое налоговое правило"
"Apply Tax On","Применить налог к"
"Are you sure you want to do this?","Вы уверены, что вы хотите это сделать?"
"Back","Назад"
"CSV","CSV (разделитель - запятые)"
"Class Name","Название класса"
"Code","Код"
"Country","Страна"
"Custom price if available","Индивидуальная цена, если доступна"
"Customer Tax Class","Класс налога клиента"
"Customer Tax Class Information","Информация о налогах для клиента"
"Customer Tax Classes","Классы налогов для клиента"
"Default Country","Страна по умолчанию"
"Default Post Code","Почтовый код по умолчанию"
"Default State","Штат по умолчанию"
"Delete Class","Удалить класс"
"Delete Rate","Удалить ставку"
"Delete Rule","Удалить правило"
"Display Shipping Prices","Отобразить цены доставки"
"Display Zero Tax Subtotal","Отобразить предварительный итог нулевого налога"
"Edit Class","Редактировать класс"
"Edit Class '%s'","Редактировать класс '%s'"
"Edit Rule","Редактировать правило"
"Edit Tax Rate","Редактировать налоговую ставку"
"Excl. Tax","Без налога"
"Excl. Tax:","Без налога:"
"Export Tax Rates","Экспорт налоговых ставок"
"Import / Export Tax Rates","Импорт / экспорт ставки налога"
"Import Tax Rates","Импорт налоговых ставок"
"Inc. Tax","Включая налог"
"Incl. Tax","Включая налог"
"Incl. Tax:","Включая налог:"
"Invalid file format upload attempt","Неверный формат закачиваемого файла"
"Invalid file upload attempt","Неверная попытка закачки файла"
"Name","Название"
"New Class","Новый класс"
"New Rule","Новое правило"
"New Tax Rate","Новая налоговая ставка"
"No","Нет"
"None","Нет"
"One of the country has invalid code.","У одной из стран неверный код."
"Original price only","Только исходная цена"
"Priority","Приоритет"
"Product Tax Class","Класс налога товара"
"Product Tax Class Information","Информация о налогах для товара"
"Product Tax Classes","Классы налога для товара"
"Rate","Курс"
"Reset","Сбросить"
"Row Total","Всего строк"
"Sales","Продажи"
"Save Class","Сохранить класс"
"Save Rate","Сохранить ставку"
"Save Rule","Сохранить правило"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Sort Order","Порядок Сортировки"
"State","Штат"
"State/Region","Область/Регион"
"Tax","Налог"
"Tax Calculation Based On","Расчет налога основан на"
"Tax Class for Shipping","Класс налога на доставку"
"Tax Classes","Классы налогов"
"Tax Identifier","Идентификатор налога"
"Tax Rate","Налоговая ставка"
"Tax Rate Information","Информация о налоговой ставке"
"Tax Rule Information","Информация о налоговом правиле"
"Tax Rules","Налоговые правила"
"Tax Titles","Название/заголовок налога"
"Tax rates at the same priority are added, others are compounded.","Налоговые ставки с одинаковым приоритетом складываются, остальные вычисляются в порядке приоритета."
"This class no longer exists","Этот класс больше не существует"
"This rule no longer exists","Это правило больше не существует"
"This rule no longer exists.","Это правило не существует."
"Total","Всего"
"Unit Price","Цена за шт."
"Yes","Да"
"You cannot delete this tax class as it is used for %d customer groups.","Вы не можете удалить этот класс налога, так как он используется для %d групп клиентов."
"You cannot delete this tax class as it is used for %d products.","Вы не можете удалить этот класс налога, так как. он используется для %d товара(ов)."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Вы не можете удалить этот класс налога, так как он используется в налоговых правилах. Вначале необходимо удалить правила, использующие этот класс."
"Zip/Post Code","Почтовый индекс"
