"%s Item(s)","%s шт."
"(Shift-)Click or drag to change value","(Shift+)Нажмите или тяните для изменения значения"
"(ver. %s)","(вер. %s)"
"- Click on any of the time parts to increase it","- Нажмите на любую часть времени для её увеличения"
"- Hold mouse button on any of the above buttons for faster selection.","- Держите кнопку мышки нажатой на любой из этих кнопок для более быстрого выбора."
"- Use the %s buttons to select month","- Используйте кнопки %s  для выбора месяца"
"- Use the %s, %s buttons to select year","- Используйте кнопки %s, %s для выбора года"
"- or Shift-click to decrease it","- или Shift+щелчок мышки для уменьшения"
"- or click and drag for faster selection.","- или нажмите и тяните для быстрого выделения."
"-- Please Select --","-- Выберите --"
"1 column","1 колонка"
"2 columns with left bar","2 колонки с левой полосой"
"2 columns with right bar","2 колонки с правой полосой"
"3 columns","3 колонки"
"About the calendar","О календаре"
"Account","Учётная запись"
"All Pages","Все страницы"
"Allow","Разрешить"
"Click <a href=""%s"">here</a> if nothing has happened","Перейдите по <a href=""%s"">ссылке</a>, если ничего не произошло"
"Close","Закрыть"
"Close Window","Закрыть окно"
"DHTML Date/Time Selector","DHTML выбор даты и времени"
"Date selection:","Выбор даты:"
"Default Description","Описание по умолчанию"
"Default welcome msg!","Приветствие по умолчанию!"
"Display %s first","Выводить %s первым"
"Distributed under GNU LGPL. See %s for details.","Распространяется под лицензией GNU LGPL. Посетите %s для подробной информации."
"Drag to move","Тяните, чтобы переместить"
"Empty","Пустой"
"For latest version visit: %s","Последняя версия доступна здесь: %s"
"Go Today","Перейти сегодня"
"Help Us to Keep Magento Healthy","Помогите сделать Magento лучше"
"Interface Language","Язык интерфейса"
"Items %s to %s of %s total","Позиции с %s по %s из %s"
"Left Column","Левая колонка"
"Menu","Меню"
"Next","Следующее"
"Next month (hold for menu)","Следующий месяц (подержать для появления меню)"
"Next year (hold for menu)","Следующий год (подержать для появления меню)"
"Page:","Страница:"
"Prev. month (hold for menu)","Пред. месяц (подержать для появления меню)"
"Prev. year (hold for menu)","Пред. год (подержать для появления меню)"
"Previous","Предыдущее"
"Redirecting...","Происходит перенаправление..."
"Report All Bugs","Сообщайте обо всех ошибках"
"Right Column","Правая колонка"
"Search","Поиск"
"Select Store","Выберите магазин"
"Select date","Выбрать дату"
"Show","Показать"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Это демонстрационный магазин. Любые заказы, оформленные на этом сайте, не будут обработаны или выполнены."
"Time selection:","Выбор времени:"
"Time:","Время:"
"View All","Посмотреть все"
"Welcome, %s!","Добро пожаловать, %s!"
"Your Language","Ваш язык"
"Your Language:","Ваш язык:"
"per page","на странице"
