"Action","Действие"
"Add New Block","Добавить новый блок"
"Add New Page","Добавить новую страницу"
"All Countries","Все страны"
"Anchor Custom Text","Якорь текст"
"Anchor Custom Title","Пользовательский заголовок якорь"
"Block","Блок"
"Block Information","Блок информации"
"Block Title","Заголовок блока"
"CMS Home Page","CMS главная страница"
"CMS No Route Page","CMS страница ""не найдено"""
"CMS Page","Страница CMS"
"Collapse All","Свернуть все"
"Content","Контент"
"Content Heading","Заголовок контента"
"Content Management","Управление содержимым"
"Custom Design","Индивидуальный дизайн"
"Custom Theme","Настраиваемая тема"
"Customer Tax Class Information","Информация о налогах для клиента"
"Date Created","Дата создания"
"Delete Block","Удалить блок"
"Delete File","Удалить файл"
"Delete Folder","Удалить папку"
"Delete Page","Удалить страницу"
"Description","Описание"
"Design","Дизайн"
"Disabled","Отключено"
"Disabled Completely","Отключено полностью"
"Disabled by Default","Отключено по умолчанию"
"Edit Block","Редактировать блок"
"Edit Block '%s'","Редактировать блок '%s'"
"Edit Page","Редактировать страницу"
"Edit Page '%s'","Редактировать страницу '%s'"
"Enabled","Включено"
"Enabled by Default","Включено по умолчанию"
"Expand All","Развернуть всё"
"General Information","Общая информация"
"Go to Home Page","Перейти на главную страницу"
"Home","Главная"
"ID","Идентификатор"
"Identifier","Идентификатор"
"Insert File","Вставить файл"
"Keywords","Ключевые слова"
"Last Modified","Последнее изменение"
"Layout","Раскладка"
"Layout Update XML","Обновление макета XML"
"Manage Pages","Управление страницами"
"Media Gallery","Медиа Галерея"
"Media Storage","Хранилище медии"
"Meta Data","Данные META"
"Meta Description","Мета Описание"
"Meta Keywords","Мета Ключевые Слова"
"New Block","Новый блок"
"New Folder Name:","Имя новой папки:"
"New Page","Новая страница"
"No files found","Файлы не найдены"
"Page Information","Информация о странице"
"Page Status","Статус страницы"
"Page Title","Заголовок страницы"
"Pages","Страницы"
"Product Tax Class Information","Информация о налогах для товара"
"Save Block","Сохранить блок"
"Save Page","Сохранить страницу"
"Select Page...","Выберите страницу..."
"Show Breadcrumbs for CMS Pages","Выводить Breadcrumbs на страницах CMS"
"Static Blocks","Статические блоки"
"Status","Статус"
"Store View","Представление магазина"
"Template","Шаблон"
"This block no longer exists.","Этот блок больше не существует."
"Title","Заголовок"
"URL Key","Ключ URL-адреса"
"px.","пикс."
