"-- Please select --","-- Выберите --"
"Allowed Currencies","Разрешенные валюты"
"Base Currency","Базовая валюта"
"Continue &raquo;","Продолжить &raquo;"
"Country","Страна"
"Country and Format Type combination should be unique","Сочетание страны и типа формата должно быть уникальным"
"Currency","Валюта"
"Currency Options","Настройки валюты"
"Currency Setup","Настройка валюты"
"Currency Update Warnings","Предупреждения при обновлении валюты"
"Directory","Папка"
"Enabled","Включено"
"Error Email Recipient","Получатель письма об ошибке"
"Error Email Sender","Отправитель письма об ошибке"
"Error Email Template","Шаблон письма об ошибке"
"FATAL ERROR:","КРИТИЧЕСКАЯ ОШИБКА:"
"Frequency","Периодичность"
"Installed Currencies","Установленные валюты"
"Invalid country code: %s","Неверный код страны: %s"
"Invalid rates received","Получены неправильные курсы"
"List of countries","Список стран"
"List of regions in specified country","Список регионов в указанной стране"
"No API Key was specified or an invalid API Key was specified.","Ключ API не указан или неверный."
"Region","Регион"
"Scheduled Import Settings","Настройки автоматического импорта"
"Select Your Currency","Выберите вашу валюту"
"Service","Услуги"
"Start Time","Время начала"
"State/Province","Область"
"WARNING:","ВНИМАНИЕ:"
"Your current currency is: %s","Текущая валюта: %s"
