"%s and greater","%s и более"
"Advanced Search","Расширенный поиск"
"All","Все"
"Catalog Advanced Search","Расширенный поиск по каталогу"
"Catalog Search","Поиск по каталогу"
"Don't see what you're looking for?","Не нашли то, что искали?"
"Go","Перейти"
"Go to Home Page","Перейти на главную страницу"
"Grid","Сетка"
"Home","Главная"
"List","Список"
"Maximum Query Length","Максимальная длина запроса"
"Maximum Query Words Count","Максимальное кол-во слов в запросе"
"Minimal Query Length","Минимальная длин запроса"
"Modify your search","Измените параметры поиска"
"No","Нет"
"No items were found using the following search criteria.","К сожалению по Вашему запросу ничего не найдено."
"Popular Search Terms","Популярные поисковые запросы"
"Rebuild Catalog product fulltext search index","Перестроить каталог в полнотекстовом поисковом каталоге"
"Relevance","Релевантность"
"Results","Результат"
"Search","Поиск"
"Search Settings","Настройки поиска"
"Search Terms","Поисковые запросы"
"Search Type","Тип поиска"
"Search entire store here...","Ищите здесь..."
"Search results for '%s'","Результаты поиска для '%s'"
"Search results for: '%s'","Результаты поиска для: '%s'"
"Subscribe to Feed","Подписаться на канал"
"There are no search terms available.","Нет доступных поисковых запросов."
"Yes","Да"
"Your search returns no results.","Нет результатов по вашему запросу"
"up to %s","до %s"
