"Actions","Действия"
"Active","Активный"
"Add New Rule","Добавить новое правило"
"Apply","Применить"
"Apply Rules","Применить правила"
"Attribute Set","Набор атрибутов"
"By Fixed Amount","На фиксированную сумму"
"Catalog","Каталог"
"Catalog Price Rule","Правило цены каталога"
"Catalog Price Rules","Правило цен каталога"
"Category","Категория"
"Conditions","Условия"
"Conditions (leave blank for all products)","Условия (оставьте пустым для всех товаров)"
"Conditions Combination","Сочетание условий"
"Customer Groups","Группы покупателей"
"Date Expire","Дата окончания"
"Date From","Дата с"
"Date Start","Дата начала"
"Date To","Дата по"
"Description","Описание"
"Discount Amount","Сумма скидки"
"Edit Rule","Редактировать правило"
"Edit Rule '%s'","Изменить правило ' %s '"
"Expiration Date","Дата окончания срока действия"
"From Date","С даты"
"General Information","Общая информация"
"ID","Идентификатор"
"Inactive","Неактивный"
"New Rule","Новое правило"
"No","Нет"
"Options","Параметры"
"Priority","Приоритет"
"Product Attribute","Атрибут товара"
"Promotions","Продвижение"
"Rule Information","Информация о правилах"
"Rule Name","Имя Правила"
"Save and Apply","Сохранить и применить"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Start Date","Дата начала"
"Status","Статус"
"This rule no longer exists.","Это правило не существует."
"To Date","По дату"
"To Fixed Amount","К фиксированной величине"
"Type","Тип"
"Update product's %s %s: %s","Обновить товару %s %s: %s"
"Website","Веб-сайт"
"Websites","Веб-сайты"
"Yes","Да"
