"Add","Добавить"
"Allow Gift Messages for Order Items","Разрешить поздравительные сообщения для товаров заказа"
"Allow Gift Messages on Order Level","Разрешить поздравительные сообщения на уровне заказа"
"Are you sure?","Вы уверены?"
"Cancel","Отмена"
"Do you have any gift items in your order?","У вас есть какие-либо подарки в вашем заказе?"
"Edit","Редактировать"
"From","от"
"Gift Message","Подарочное сообщение"
"Gift Options","Вариантов подарка"
"Item %d of %d","Товар %d из %d."
"Message","Сообщение"
"No","Нет"
"Save Gift Message","Сохранить поздравительное сообщение"
"To","До"
"Unknown entity type","Неизвестный тип сущности"
"Use config","Использование конфигурации"
"Yes","Да"
