"Add Recipient","Добавить получателя"
"Allow for Guests","Разрешить для гостей"
"Back","Назад"
"Email Address","Адрес электронной почты"
"Email Address:","Email адрес:"
"Email to a Friend","Письмо другу"
"Email:","Электронная почта:"
"Enabled","Включено"
"Limit Sending By","Ограничить отправку до"
"Max Products Sent in 1 Hour","Максимальное кол-во товаров, отправляемых за 1 час"
"Max Recipients","Максимальное кол-во получателей"
"Maximum %d email addresses allowed.","Разрешено максимум %d адресов электронной почты (email)."
"Message:","Сообщение:"
"Name","Название"
"Name:","Имя:"
"Recipient:","Получатель:"
"Remove Email","Удалить письмо (email)"
"Send Email","Отправить письмо"
"Send product to a friend","Отправить другу"
"Sender:","Отправитель:"
