"Abandoned carts","Palikti krepšelyje"
"Action","Veiksmas"
"Add to Cart","Į krepšelį"
"Add to Compare","Pridėti palyginimui"
"Add to Wishlist","Pridėti į pageidavimų sąrašą"
"Any","Bet koks"
"Applied Coupon","Naudoti Kuponai"
"Are you sure?","Ar esate įsitikinę?"
"Bestsellers","Perkamiausi"
"Bought from wishlists","Nupirkta iš Pažymėtų sąrašo"
"Carts","Krepšeliai"
"Coupons","Kuponai"
"Created At","Sukurtas"
"Customer","Klientas"
"Customer Name","Kliento Vardas"
"Customer Tags","Kliento žymės"
"Customers","Klientai"
"Customers Report","Klientų pranešimai"
"Customers Reviews","Pirkėjų Apžvalgos"
"Customers Tags","Klientų žymės"
"Customers by number of orders","Klientai pagal pirkimų skaičių"
"Customers by orders total","Klientai pagal pirkimų sumą"
"Customers that have wishlist: %s%","Klientai,turintys Pažymėtųjų sąrašą: %s%"
"Dashboard","Darbastalis"
"Day","Diena"
"Description","Aprašymas"
"Detail","Išsamiau"
"Email","El. paštas"
"Filter","Filtruoti"
"First Name","Vardas"
"From","Nuo"
"General","Bendras"
"Guest","Svečias"
"Hits","Paspaudimai"
"IP Address","IP Adresas"
"Items in Cart","Prekės krepšelyje"
"Last Name","Pavardė"
"Last Review","Paskutinė apžvalga"
"Low stock","Mažas kiekis"
"Month","Mėnuo"
"Most Viewed","Daugiausia Rodyta"
"Name","Vardas"
"New Accounts","Nauja Sąskaita"
"No","Ne"
"Number Added","Skaičius pridėtas"
"Number Fulfilled","Įvykdytas Skaičius"
"Number Of Reviews","Apžvalgų kiekis"
"Number Purchased","Mokėjimų skaičius"
"Number Viewed","Žiūrėta"
"Number of Items","Įrašų skaičius"
"Number of New Accounts","Naujų paskyrų skaičius"
"Number of Reviews","Apžvalgų kiekis"
"Number of Total Tags","Visų žymių kiekis"
"Number of Unique Tags","Unikalių žymių skaičius"
"Number of Views","Rodyta kartų"
"Number of items bought from a wishlist: %s","Prekių kiekis nupirktas iš Pažymėtų sąrašo: %s"
"Number of times wishlists have been shared (emailed): %s","Kiek kartų buvo pasidalinta savo Pažymėtų sąrašu (išsiųsta el.paštu): %s"
"Number of wishlist conversions: %s","Pažymėtų sąrašo pasikeitimas: %s"
"Number of wishlist referrals: %s","Pažymėtų sąrašo siuntimo kiekis: %s"
"Number of wishlists: %s","Pažymėtų sąrašų kiekis: %s"
"Order Status","Užsakymo būsena"
"Orders","Užsakymai"
"Out of stock","Nėra sandėlyje"
"Period","Periodas"
"Poducts Report","Prekių pranešimai"
"Popular Tags","Populiarios žymės"
"Popularity","Populiarumas"
"Price","Kaina"
"Product Name","Prekės pavadinimas"
"Product Reviews","Prekės Apžvalgos"
"Product SKU","Prekės SKU"
"Product Tags","Prekės Žymės"
"Products","Prekės"
"Products Report","Prekių pranešimai"
"Products Reviews","Prekių Apžvalgos"
"Products Tags","Prekių žymės"
"Products in carts","Prekių krepšelyje"
"Quantity Ordered","Užsakytas Kiekis"
"Quantity of Items","Įrašų kiekis"
"Recently Compared Products","Palygintos Prekės"
"Recently Viewed","Naujausios peržiūros"
"Recently Viewed Products","Žiūrėtos prekės"
"Recently Viewed/Compared Products","Žiūrėtos/Palygintos Prekės"
"Refunds","Grąžinimai"
"Reports","Pranešimai"
"Results","Rezultatai"
"Revenue","Pajamos"
"Review","Atsiliepimas"
"Reviews","Atsiliepimai"
"Sales Report","Pardavimų ataskaitos"
"Search Query","Paieškos užklausa"
"Search Terms","Paieškos terminai"
"Shipping","Pristatymas"
"Shopping Cart","Prekių krepšelis"
"Show for Current","Rodyti esamą"
"Stock Qty","Likučio kiekis"
"Submitted In","Įkelta į"
"Submitted On","Įkelta"
"Subtotal","Tarpinė suma"
"Tag","Žymės"
"Tag ""%s"" details","Žymės ""%s"" informacija"
"Tag Detail","Žymės detalės"
"Tag Name","Žymės Pavadinimas"
"Tags submitted to %s","Žymė skirta %s"
"Tax","Mokesčiai"
"Title","Pavadinimas"
"To","Iki"
"Total","Iš viso"
"Total Tags","Viso žymių"
"Total invoiced","Viso sąskaitų"
"Total refunded","Viso grąžinta"
"Updated At","Atnaujinta"
"Visible In","Matoma"
"Wishlist Report","Pažymėtų sąrašo pranešimai"
"Wishlist vs. Regular Order","Pažymėta prieš Užsakymą"
"Wishlists","Pažymėti sąrašai"
"Year","Metai"
"Yes","Taip"
"Your Recently Compared","Jūs Neseniai Palyginote"
"Your Recently Viewed","Jūs Neseniai Žiūrėjote"
