"-- Please Select --","-- Pasirinkite --"
"Add New Class","Pridėti naują klasę"
"Add New Tax Rate","Pridėti naują mokesčių dydį"
"Add New Tax Rule","Pridėti naują mokesčių taisyklę"
"Are you sure you want to do this?","Ar tikrai norite tai padaryti?"
"Back","Grįžti"
"Class Name","Klasės pavadinimas"
"Code","Kodas"
"Country","Šalis"
"Customer Tax Class","Vartotojo mokesčių klasė"
"Customer Tax Class Information","Klientų mokesčių informacija"
"Customer Tax Classes","Klientų mokesčių klasės"
"Delete Class","Šalinti klasę"
"Delete Rate","Šalinti vertinimą"
"Delete Rule","Šalinti taisyklę"
"Edit Class","Keisti Klasę"
"Edit Class '%s'","Keisti klasę '%s'"
"Edit Rule","Redaguoti taisyklę"
"Edit Tax Rate","Redaguoti mokesčių taisyklę"
"Excl. Tax","Be PVM"
"Export Tax Rates","Eksportuoti mokesčių dydžius"
"Grand Total (Excl.Tax)","Suma (Atsk.Mok.)"
"Grand Total (Incl.Tax)","Suma"
"Import / Export Tax Rates","Importuoti / Eksportuoti mokesčių dydžius"
"Import Tax Rates","Importuoti Mokesčių dydžius"
"Inc. Tax","Inc. Mokestis"
"Incl. Tax","Su PVM"
"Invalid file format upload attempt","Negaliojantis rinkmenos formatas, įkėlimas atšauktas"
"Invalid file upload attempt","Siunčiama Netinkama byla"
"Manage Customer Tax Classes","Valdyti Pirkėjų Mokesčių Klases"
"Manage Product Tax Classes","Valdyti Produktų Mokesčių Klases"
"Manage Tax Rates","Valdyti mokesčių dydžius"
"Manage Tax Rules","Valdyti mokesčių taisykles"
"Name","Vardas"
"New Class","Nauja Klasė"
"New Rule","Nauja taisyklė"
"New Tax Rate","Naujas mokesčių dydis"
"No","Ne"
"None","Nė vienas"
"Priority","Prioritetas"
"Product Tax Class","Prekės mokesčių klasė"
"Product Tax Class Information","Prekės Mokesčių informacija"
"Product Tax Classes","Prekių mokesčių klasės"
"Reset","Nustatyti iš naujo"
"Row Total","Visa suma eilutėje"
"Save Class","Išsaugoti klasę"
"Save Rate","Išsaugoti dydį"
"Save Rule","Išsaugojimo taisyklė"
"Save and Continue Edit","Išsaugoti ir tęsti redagavimą"
"Sort Order","Rūšiavimo tvarka"
"State","Valstija"
"State/Region","Rajonas"
"Subtotal (Excl. Tax)","Tarpinė suma (be mokesčių)"
"Subtotal (Incl. Tax)","Iš viso (su PVM)"
"Tax","Mokesčiai"
"Tax Rate","Mokesčių dydis"
"Tax Rate Information","Mokesčių dydžio informacija"
"Tax Rule Information","Mokesčių taisyklės informacija"
"Tax Rules","Mokesčių taisyklė"
"This class no longer exists","Tokios klasės jau nėra"
"This rule no longer exists","Ši taisyklė daugiau neegzistuoja"
"This rule no longer exists.","Ši taisyklė nebeegzistuoja."
"Total","Iš viso"
"Unit Price","Vieneto kaina"
"Yes","Taip"
"You cannot delete this tax class as it is used for %d customer groups.","Jūs negalite pašalinti šios mokesčio klasės, kadangi ji yra naudojama %d kliento grupėms."
"You cannot delete this tax class as it is used for %d products.","Jūs negalite pašalinti šios mokesčio klasės, kadangi ji yra naudojama %d produktams."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Jūs negalite pašalinti šios mokesčio klasės, kadangi ji yra naudojama Mokesčio Taisyklėse. Iš pradžių Jūs turite pašalinti taisykles, kuriose tai naudojama."
"Zip/Post Code","Pašto kodas"
