"API Login ID","API Prisijungimo ID"
"Authorize Only","Tik Autorizuoti"
"Authorize and Capture","Autorizuokite ir Siųskite"
"Cancel","Atšaukti"
"Credit Card Types","Kreditinės kortelės tipai"
"Credit Card Verification","Kreditinės kortelė Autorizacija"
"Debug","Derinti"
"Enabled","Įjungta"
"Invalid amount for authorization.","Neteisinga suma autorizacijoje."
"Payment Action","Mokėjimo Veiksmas"
"Payment authorization error.","Mokėjimo Autorizacijos klaida."
"Sort Order","Rūšiavimo tvarka"
"Title","Pavadinimas"
