"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Nuoroda</a>"
"Done","Atlikta"
"Less than a minute","Mažiau nei minutė"
"Memory Used: %s","Naudojama atimties: %s"
"Processed records: %s","Vykdo įrašus: %s"
"Sheet 1","Lapas 1"
"Starting %s :: %s","Pradėti %s :: %s"
"Total records: %s","Viso įrašų: %s"
"hour","valanda"
"hours","valandos"
"minute","minutė"
"minutes","minutės"
