"-- Please select --","-- Prašome pasirinkti --"
"Continue &raquo;","Tęsti &raquo;"
"Country","Šalis"
"Country and Format Type combination should be unique","Šalies ir Formato Tipo kombinacija turi būti unikali"
"Currency","Valiuta"
"Currency Options","Valiutos nustatymai"
"Currency Setup","Valiutos valdymas"
"Currency Update Warnings","Valiutos atnaujinimo info"
"Enabled","Įjungta"
"Error Email Recipient","Klaidų el.pašto gavėjai"
"Error Email Sender","Klaidų el.pašto Siuntėjas"
"Error Email Template","Klaidų el.pašto Šablonas"
"FATAL ERROR:","Kritinė KLAIDA:"
"Frequency","Dažnumas"
"Installed Currencies","Instaliuotos Valiutos"
"Invalid country code: %s","Neteisingas šalies kodas: %s"
"Invalid rates received","Neteisingos gautos reikšmės"
"Scheduled Import Settings","Suplanuoto Importo Nustatymai"
"Select Your Currency","Pasirinkite valiutą"
"Service","Paslaugos"
"Start Time","Pradžios laikas"
"State/Province","Rajonas/apskritis"
"WARNING:","DĖMESIO:"
"Your current currency is: %s","Jūsų dabartinė valiuta: %s"
