"%s Item(s)","%s prekė(s)"
"(ver. %s)","(versija %s)"
"-- Please Select --","-- Pasirinkite --"
"Account","Paskyra"
"Close","Uždaryti"
"Close Window","Uždaryti langą"
"Empty","Tuščia"
"Help Us to Keep Magento Healthy","Praneškite savo pageidavimus"
"Interface Language","Kalba"
"Items %s to %s of %s total","Įrašai <strong>%s</strong> yra <strong>%s</strong> iš <strong>%s</strong> viso"
"Menu","Meniu"
"Next","Toliau"
"Page:","Puslapis:"
"Previous","Ankstesnis"
"Report All Bugs","Pranešti apie visas klaidas"
"Search","Ieškoti"
"Select Store","Parduotuvė"
"Show","Rodyti"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Tinklapis atnaujinamas. Bet kokie užsakymai pateikti šiuo metu nebus atlikti. Atsiprašome už nepatogumus."
"Time selection:","Laiko pasirinkimas:"
"Time:","Laikas:"
"View All","Peržiūrėti visus"
"Welcome, %s!","Sveiki, %s!"
"Your Language","Kalba"
"per page","per puslapį"
