"--Please Select--","--Prašome pasirinkti--"
"API Login ID","API Prisijungimo ID"
"Card Verification Number","Kortelės patvirtinimo numeris"
"Card Verification Number Visual Reference","Kortelės patvirtinimo kodas "
"Close","Uždaryti"
"Credit Card Information","Kreditinės kortelės informacija"
"Credit Card Number","Kortelės numeris"
"Credit Card Type","Kreditinės kortelės tipas"
"Credit Card Types","Kreditinės kortelės tipai"
"Credit Card Verification","Kreditinės kortelė Autorizacija"
"Debug","Derinti"
"Enabled","Įjungta"
"Expiration Date","Galiojimo data"
"Gateway URL","Vartai URL"
"Order saving error: %s","Klaida saugojant Užsakymą: %s"
"Payment Action","Mokėjimo Veiksmas"
"Payment authorization error.","Mokėjimo Autorizacijos klaida."
"Sort Order","Rūšiavimo tvarka"
"Title","Pavadinimas"
"What is this?","Kas tai?"
