"* Select shipping method","* Išrinkite pristatymo metodą"
"2Day","2Dienos"
"AVS Status: %s","AVS Būklė: %s"
"Amount: %s","Suma: %s"
"Auto-generated from GoogleCheckout Charge","Sugeneruoti iš GoogleCheckout sąskaitos"
"CC Partial: xxxx-%s","CC Dalis: xxxx-%s"
"CID Status: %s","CID būklė: %s"
"Cart Discount","Nuolaida"
"Checkout Image Style","Pirkimo vaizdo stilius"
"Continue Shopping URL","Tęsti Apsipirkimą URL"
"Debug","Derinti"
"Default price:","Pagrindinė kaina:"
"Enable","Įjungti"
"Expiration: %s","Pabaiga: %s"
"Express Mail","Skubus Paštas"
"Express Saver","Skubus saugojimas"
"Financial: %s -> %s","Finansinis: %s -> %s"
"First Overnight","Pirmas Parai"
"Free Shipping","Nemokamas pristatymas"
"Fulfillment: %s -> %s","Užpildytas: %s -> %s"
"Google Authorization:","Googles Autorizacija:"
"Google Charge:","Google Sąskaita:"
"Google Checkout","Google Pirkimas"
"Google Checkout Shipping - Carrier Calculated","Google Pirkimo Pristatymas - Vežėjo apskaičiavimai"
"Google Checkout Shipping - Flat Rate","Google Pirkimo Pristatymas - Pastovi norma"
"Google Checkout Shipping - Merchant Calculated","Google Pirkimo Pristatymas - Pardavėjo paskaičiavimai"
"Google Checkout: %s","Google Kasa: %s"
"Google Order Number: %s","Google Užsakymo Numeris: %s"
"Google Refund:","Google Grąžinta:"
"Google Risk Information:","Google Rizikos informacija:"
"Ground","Pagrindas"
"Home Delivery","Pristatymo vieta"
"IP Address: %s","IP Adresas: %s"
"Latest Charge: %s","Nauja kaina: %s"
"Latest Refund: %s","Naujas grąžinimas: %s"
"Location","Vieta"
"Media Mail","Media Paštas"
"Merchant ID","Pardavėjo ID"
"Merchant Key","Pardavėjo Raktas"
"No","Ne"
"Optional, leave empty for home page.","Nebūtina, palikite tusčia jei į Pirmą puslapį."
"Parcel Post","Siuntinių skyrius"
"Priority Mail","Prioriteto Paštas"
"Priority Overnight","Prioritetas naktinis"
"Sandbox","Dėžė"
"Standard Overnight","Standartas Per naktį"
"Title","Pavadinimas"
"Total Charged: %s","Viso apmokėta: %s"
"Total Refunded: %s","Viso grąžinta: %s"
"Yes","Taip"
