"* Required Fields","* Privalomi laukai"
"Add New Option","Sukurti naują funkciją"
"Add Selection","Sukurti rinkinį"
"As low as","Toks mažas kaip "
"Bundle Product","Rinkinio prekė"
"Buy %1$s with %2$s discount each","Pirkite %1$s su %2$s nuolaida kiekvienam"
"Choose a selection...","Pasirinkti rinkinį..."
"Click for price","Tikrinti kainą"
"Close","Uždaryti"
"Default","Numatytasis"
"Default Qty","Numatytasis kiekis"
"Default Title","Numatytasis pavadinimas"
"Dynamic","Dinaminis"
"Excl. Tax","Be PVM"
"From","Nuo"
"From:","Nuo:"
"Gift Message","Dovanos žinutė"
"Incl. Tax","Su PVM"
"Input Type","Įvesties tipas"
"Is Required","Reikalinga"
"Message:","Žinutė:"
"N/A","N/D"
"No options of this product are available.","Nėra galimų finkcijų šiai prekei."
"None","Nė vienas"
"Percent Discount","Nuolaida procentais"
"Please enter search conditions to view products.","Prašome paieškos sąlygas prekių peržiūrai."
"Please select options for product.","Prašome pasirinkti paieškos funkcijas prekei."
"Position","Rikiavimas"
"Price Range","Kainos lygis"
"Price Type","Kainos tipas"
"Price as configured","Kaina kaip sukonfigūruota"
"Qty:","Kiekis:"
"SKU","Prekės kodas"
"Separately","Atskirai"
"Ship Bundle Items","Pristatyi rinkinio prekes"
"Shipment","Siunta"
"Store View Title","Talpinti peržiūros antraštę"
"This product is also part of bundle(s)","Ši prekė taip pat yra komplekto dalis"
"To","Iki"
"To:","Kam:"
"Together","Kartu"
"User Defined Qty","Vartotojo pasirinktas kiekis"
"and","ir"
"save","išsaugoti"
