"Add","Pridėti"
"Allow Gift Messages for Order Items","Galimos Dovanų Žinutės Užsakymams"
"Allow Gift Messages on Order Level","Galimos Dovanų Žinutės Užsakymų Lygiui"
"Are you sure?","Ar esate įsitikinę?"
"Cancel","Atšaukti"
"Do you have any gift items in your order?","Ar turite dovanas savo užsakyme?"
"Edit","Redaguoti"
"From","Nuo"
"Gift Message","Dovanos žinutė"
"Item %d of %d","Įrašai %d iš %d"
"Message","Žinutė"
"No","Ne"
"OK","Gerai"
"Save Gift Message","Saugoti dovanos žinutę"
"To","Iki"
"Unknown entity type","Nežinomas formatas"
"Use config","Kaip numatyta"
"Yes","Taip"
