"Actions","Veiksmai"
"Are you sure?","Ar esate įsitikinę?"
"Date Added","Data įrašyta"
"Mark as Read","Pažymėti kaip perskaitytą"
"Mark as read","Pažymėti kaip perskaitytą"
"Message","Žinutė"
"Messages Inbox","Gautos žinutės"
"Notifications","Pranešimai"
"Read Details","Perskaityti detales"
"Remove","Pašalinti"
"Show List","Parodyti sąrašą"
"Show Toolbar","Rodytį įrankių juostą"
"critical","svarbus"
"major","pagrindinis"
"minor","šalutinis"
"notice","pranešimas"
