"Add","Pridėti"
"Add New Role","Nauja rolė"
"Admin","Administratorius"
"Assigned","Priskirta"
"Attribute Set","Savybių Komplektas"
"Attributes","Savybės"
"Back","Grįžti"
"Backorders","Rezervavimas"
"Catalog","Katalogas"
"City","Miestas"
"Company","Įmonė"
"Country","Šalis"
"Coupon Code","Kupono kodas"
"Customer","Klientas"
"Customer First Name","Kliento vardas"
"Customer Last Name","Kliento pavardė"
"Delete","Ištrinti"
"Discount","Nuolaida"
"Discount Amount","Nuolaida"
"Edit","Redaguoti"
"Edit Role","Redaguoti rolę"
"Email","El. paštas"
"Exclude","Atmesti"
"First Name","Vardas"
"Gift Message","Dovanos žinutė"
"Grand Total","Iš Viso"
"Group","Grupė"
"Guest","Svečias"
"Label","Etiketė"
"Last Name","Pavardė"
"Maximum Qty Allowed in Shopping Cart","Maksimumas Vnt. Leista Apsipirkimo Krepšelyje"
"Minimum Qty Allowed in Shopping Cart","Minimalus leistinas Vnt. kiekis Apsipirkimo Krepšelyje"
"Notify for Quantity Below","Informuoti Pasibaigiant kiekiui"
"Order Comments","Sąskaitos Komentarai"
"Order Date","Užsakymo data"
"Order ID","Užsakymo nr."
"Order Status","Užsakymo būsena"
"Orders","Užsakymai"
"Original Price","Pradinė kaina"
"Payment Method","Mokėjimo būdas"
"Phone Number","Telefono numeris"
"Position","Rikiavimas"
"Price","Kaina"
"Product","Produktas"
"Product ID","Prekės ID"
"Product Type","Prekės Tipas"
"Qty","Kiekis"
"Qty Uses Decimals","Vnt. Dešimtainė trupmena"
"Role Info","Leidimo informacija"
"Role Information","Leidimo informacija"
"Role Name","Leidimo pavadinimas"
"Role Users","Leidmai skirti"
"Roles","Leidimai"
"SKU","Prekės kodas"
"Save","Išsaugoti"
"Shipping Amount","Pristatymo suma"
"Shipping Method","Pristatymo būdas"
"State","Valstija"
"Stock Availability","Prekių kiekis"
"Store Name","Parduotuvės pavadinimas"
"Subtotal","Tarpinė suma"
"System","Sistema"
"Tax Amount","Mokesčių suma"
"Tax Rate","Mokesčių dydis"
"Total Due","Viso"
"Total Paid","Viso apmokėta"
"Total Refunded","Viso grąžinta"
"Type","Tipas"
"Update","Atnaujinti"
"ZIP/Postal Code","Pašto kodas"
