"* Required Fields","* Privalomi laukai"
"Admin","Administratorius"
"Close","Uždaryti"
"Created At","Sukurtas"
"Customer","Klientas"
"Delete","Ištrinti"
"Disable","Išsjungti"
"Disabled","Išjungta"
"Edit","Redaguoti"
"Email","El. paštas"
"Email Address","El. paštas"
"Enable","Įjungti"
"Enabled","Įjungta"
"Log In","Prisijungti"
"Login","Prisijungti"
"Name","Vardas"
"Password","Slaptažodis"
"Permissions","Leidimas"
"Reject","Atmesti"
"Role Name","Leidimo pavadinimas"
"Save","Išsaugoti"
"Save and Continue Edit","Išsaugoti ir tęsti redagavimą"
"Status","Būsena"
"System","Sistema"
"User ID","Nario ID"
"User Name","Nario vardas"
