"%s and greater","%s ir daugiau"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d įrašas (-ai)</strong> rastas pagal pasirinktus parametrus"
"Advanced Search","Išplėstinė paieška"
"All","Visi"
"Catalog Advanced Search","Katalogo Išplėstinė Paieška"
"Don't see what you're looking for?","Ieškoti kito?"
"Go to Home Page","Grįžti į pradinį puslapį"
"Grid","Tinklelis"
"Home","Pradžia"
"List","Sąrašas"
"Modify your search","Spauskite čia"
"No","Ne"
"No items were found using the following search criteria.","Pagal nurodytus parametrus nieko nerasta. <a href='http://www.jusu-domenas.lt/contacts/'>Parašykite mums ko ieškote</a>. Norėdami papildyti paiešką "
"Popular Search Terms","Populiariausi paieškos terminai"
"Results","Rezultatai"
"Search","Ieškoti"
"Search Settings","Paieškos nustatymai"
"Search Terms","Paieškos terminai"
"Search entire store here...","Paieška..."
"Search results for '%s'","Rasta '%s'"
"Search results for: '%s'","Rasta: '%s'"
"Subscribe to Feed","Užsisakykite Naujienas"
"There are no search terms available.","Nėra jokių paieškos terminų."
"Yes","Taip"
"Your search returns no results.","Nieko nerasta. <a href='http://www.jusu-domenas.lt/contacts/'>Parašykite mums ko ieškote</a>."
"up to %s","iki %s"
