"Action","Veiksmas"
"Add New Block","Pridėti Naują Bloką"
"Add New Page","Pridėti Naują Puslapį"
"Block Information","Bloko informacija"
"Block Title","Bloko pavadinimas"
"CMS","TVS"
"CMS Home Page","TVS Namų puslapis"
"CMS No Route Page","TVS Nepriskirtas puslapis"
"Content","Turinys"
"Custom Design","Specialus Dizainas"
"Custom Theme","Speciali Išvaizda"
"Customer Tax Class Information","Klientų mokesčių informacija"
"Date Created","Sukūrimo data"
"Delete Block","Pašalinti bloką"
"Delete Page","Šalinti puslapį"
"Description","Aprašymas"
"Design","Dizainas"
"Disabled","Išjungta"
"Edit Block","Redaguoti bloką"
"Edit Block '%s'","Redaguoti bloką '%s'"
"Edit Page","Redaguoti puslapį"
"Edit Page '%s'","Redaguoti puslapį '%s'"
"Enabled","Įjungta"
"General Information","Pagrindinė informacija"
"Go to Home Page","Grįžti į pradinį puslapį"
"Home","Pradžia"
"Identifier","Identifikatorius"
"Keywords","Raktažodžiai"
"Last Modified","Keistas"
"Layout","Išdėstymas"
"Layout Update XML","Išvaizdos XML"
"Manage Pages","Valdyti puslapius"
"Meta Data","Meta Duomenys"
"Meta Description","Meta Aprašymas"
"Meta Keywords","Meta Raktažodžiai"
"New Block","Naujas blokas"
"New Page","Naujas puslapis"
"Page Information","Puslapio informacija"
"Page Status","Puslapio būsena"
"Page Title","Puslapio pavadinimas"
"Product Tax Class Information","Prekės Mokesčių informacija"
"Save Block","Išsaugoti bloką"
"Save Page","Išsaugoti puslapį"
"Static Blocks","Statiniai blokai"
"Status","Būsena"
"Store View","Parduotuvės aplinka"
"Template","Šablonas"
"Title","Pavadinimas"
