"-- Please Select --","-- Pasirinkite --"
"Actions","Veiksmai"
"All","Visi"
"All Product Types","Visi Prekių Tipai"
"Apply","Pritaikyti"
"Big Image","Didelis vaizdas"
"CMS","TVS"
"Categories","Kategorijos"
"Close","Uždaryti"
"Continue","Tęsti"
"Delete","Ištrinti"
"Export to:","Eksportuoti į:"
"Frontend Properties","Priekio Nuostatos"
"Images","Vaizdai"
"Insert Widget","Įtraukti valdiklį"
"Next page","Kitas puslapis"
"Open Chooser","Atviras Pasirinkimas"
"Page","Puslapis"
"Previous page","Ankstesnis puslapis"
"Products","Prekės"
"Save and Continue Edit","Išsaugoti ir tęsti redagavimą"
"Select All","Rinktis viską"
"Select Visible","Išrinkite rodomus"
"Settings","Nustatymai"
"Sort Order","Rūšiavimo tvarka"
"Template","Šablonas"
"The information in this tab has been changed.","Šios kortelės informacija pasikeitė."
"This tab contains invalid data. Please solve the problem before saving.","Ši etiketė turi negaliojančių duomenų. Prašom ištaisyti ir išsaugoti."
"Thumbnail","Miniatiūra"
"Total %d records found","Viso rasta <strong>%d</strong> įrašai"
"Type","Tipas"
"Unselect All","Nežymėti"
"Unselect Visible","Nežymėti rodomus"
"View","Peržiūrėti"
"items selected","įrašas pasirinktas"
"of %s pages","iš &nbsp;<strong>%s</strong>"
"per page","per puslapį"
