"Action","Veiksmas"
"Add Sitemap","Sukurti tinklapio struktūrą"
"Always","Visada"
"CMS Pages Options","TVS Puslapių Nustatymai"
"Categories Options","Kategorijų Nustatymai"
"Daily","Kasdien"
"Edit Sitemap","Redaguoti Struktūrą"
"Enabled","Įjungta"
"Error Email Recipient","Klaidų el.pašto gavėjai"
"Error Email Sender","Klaidų el.pašto Siuntėjas"
"Error Email Template","Klaidų el.pašto Šablonas"
"Filename","Rinkmenos pavadinimas"
"Frequency","Dažnumas"
"Generation Settings","Generavimo Nustatymai"
"Google Sitemap","Google Tinklapio struktūra"
"Hourly","Kas valandą"
"Last Time Generated","Paskutinį kartą generuota"
"Link for Google","Nuoroda Google sistemai"
"Monthly","Kas mėnesį"
"Never","Niekada"
"New Sitemap","Nauja struktūra"
"Path","Kelias"
"Priority","Prioritetas"
"Products Options","Produkto nustatymai"
"Sitemap generate Warnings","Struktūros generavimo Įspėjimas"
"Start Time","Pradžios laikas"
"Store View","Parduotuvės aplinka"
"Weekly","Kas savaitę"
"Yearly","Kas Metus"
